date,S&P500,Portfolio
2014-07-07,1977.65,555.84
2014-07-08,1963.71,544.01
2014-07-09,1972.83,549.67
2014-07-10,1964.6801,542.1050000000001
2014-07-11,1967.5699,541.9399999999999
2014-07-14,1977.1,545.3800000000001
2014-07-15,1973.28,535.1850000000001
2014-07-16,1981.5699,532.98
2014-07-17,1958.12,517.38
2014-07-18,1978.22,528.6100000000001
2014-07-21,1973.63,521.77
2014-07-22,1983.53,524.327
2014-07-23,1987.01,530.4399999999999
2014-07-24,1987.98,528.6800000000001
2014-07-25,1978.34,525.461
2014-07-28,1978.91,523.8299999999999
2014-07-29,1969.95,528.9601
2014-07-30,1970.0699,532.7
2014-07-31,1930.67,516.8869000000001
2014-08-01,1925.15,516.5849999999999
2014-08-04,1938.99,522.0400000000001
2014-08-05,1920.21,522.4093
2014-08-06,1920.24,525.235
2014-08-07,1909.5699,516.1999999999999
2014-08-08,1931.59,522.175
2014-08-11,1936.92,530.62
2014-08-12,1933.75,529.8199999999999
2014-08-13,1946.72,533.1821
2014-08-14,1955.1801,533.7750000000001
2014-08-15,1955.0601,534.3
2014-08-18,1971.74,540.17
2014-08-19,1981.6,541.2360000000001
2014-08-20,1986.51,536.1248999999999
2014-08-21,1992.37,534.4000000000001
2014-08-22,1988.4,532.54
2014-08-25,1997.92,536.3919999999999
2014-08-26,2000.02,543.25
2014-08-27,2000.12,537.4000000000001
2014-08-28,1996.74,535.0970000000001
2014-08-29,2003.37,540.788
2014-09-02,2002.28,537.7900000000001
2014-09-03,2000.72,535.35
2014-09-04,1997.65,534.0899999999999
2014-09-05,2007.71,534.34
2014-09-08,2001.54,537.8700000000001
2014-09-09,1988.4399,531.3901000000001
2014-09-10,1995.6899,539.2429999999999
2014-09-11,1997.45,543.6664000000001
2014-09-12,1985.54,543.7829999999999
2014-09-15,1984.13,537.0355999999999
2014-09-16,1998.98,540.8652
2014-09-17,2001.5699,545.0310999999999
2014-09-18,2011.36,545.7196999999999
2014-09-19,2010.4,542.3281000000001
2014-09-22,1994.29,534.3427999999999
2014-09-23,1982.77,530.365
2014-09-24,1998.3,541.365
2014-09-25,1965.99,533.6229000000001
2014-09-26,1982.85,536.8
2014-09-29,1977.8,535.615
2014-09-30,1972.29,529.135
2014-10-01,1946.16,523.36
2014-10-02,1946.17,528.3599999999999
2014-10-03,1967.9,535.1025999999999
2014-10-06,1964.8199,532.3699999999999
2014-10-07,1935.1,523.6811
2014-10-08,1968.89,534.3362000000001
2014-10-09,1928.21,520.43
2014-10-10,1906.13,511.85900000000004
2014-10-13,1874.74,524.59
2014-10-14,1877.7,525.9267
2014-10-15,1862.49,533.2978
2014-10-16,1862.76,537.76
2014-10-17,1886.76,535.7249999999999
2014-10-20,1904.01,542.3701
2014-10-21,1941.28,549.34
2014-10-22,1927.11,546.163
2014-10-23,1950.8199,553.0
2014-10-24,1964.58,554.7299999999999
2014-10-27,1961.63,546.641
2014-10-28,1985.05,558.7873
2014-10-29,1982.3,552.6916
2014-10-30,1994.65,562.0100000000001
2014-10-31,2018.05,564.7828999999999
2014-11-03,2017.8101,564.0665000000001
2014-11-04,2012.1,556.6610000000001
2014-11-05,2023.5699,553.6002
2014-11-06,2031.21,559.1203999999999
2014-11-07,2031.92,561.73
2014-11-10,2038.26,564.8408999999999
2014-11-11,2039.6801,566.01
2014-11-12,2038.25,571.0100000000001
2014-11-13,2039.33,569.715
2014-11-14,2039.8199,559.671
2014-11-17,2041.3199,556.029
2014-11-18,2051.8,560.785
2014-11-19,2048.72,555.087
2014-11-20,2052.75,561.4099999999999
2014-11-21,2063.5,565.93
2014-11-24,2069.4099,577.2657000000002
2014-11-25,2067.03,577.3900000000001
2014-11-26,2072.8301,583.0000000000001
2014-11-28,2067.5601,580.9033
2014-12-01,2053.4399,577.48
2014-12-02,2066.55,583.46
2014-12-03,2074.3301,582.8901
2014-12-04,2071.9199,581.1
2014-12-05,2075.3701,582.61
2014-12-08,2060.3101,586.4167999999999
2014-12-09,2059.8201,592.625
2014-12-10,2026.14,573.75
2014-12-11,2035.33,574.2305
2014-12-12,2002.33,570.3100000000001
2014-12-15,1989.63,557.7747000000002
2014-12-16,1972.74,551.4847
2014-12-17,2012.89,569.53
2014-12-18,2061.23,582.7850000000001
2014-12-19,2070.6499,584.6600000000001
2014-12-22,2078.54,588.5454
2014-12-23,2082.1699,578.495
2014-12-24,2081.8799,581.7
2014-12-26,2088.77,589.6679999999999
2014-12-29,2090.5701,585.9499999999999
2014-12-30,2080.3501,583.75
2014-12-31,2058.8999,581.7049999999999
2015-01-02,2058.2,579.7279
2015-01-05,2020.58,573.3899999999999
2015-01-06,2002.61,567.01
2015-01-07,2025.9,578.9549999999999
2015-01-08,2062.1399,594.6976000000001
2015-01-09,2044.8101,590.6
2015-01-12,2028.26,589.9908
2015-01-13,2023.03,590.2925
2015-01-14,2011.27,587.77
2015-01-15,1992.67,576.639
2015-01-16,2019.42,584.3135
2015-01-20,2022.55,577.0699999999999
2015-01-21,2032.12,566.3046
2015-01-22,2063.1499,578.5005
2015-01-23,2051.8201,577.105
2015-01-26,2057.0901,582.955
2015-01-27,2029.55,582.311
2015-01-28,2002.16,571.104
2015-01-29,2021.25,579.684
2015-01-30,1994.99,567.5500000000001
2015-02-02,2020.85,570.115
2015-02-03,2050.03,571.7900000000001
2015-02-04,2041.51,563.7305
2015-02-05,2062.52,574.2337
2015-02-06,2055.47,568.76
2015-02-09,2046.74,565.2026
2015-02-10,2068.5901,575.0704
2015-02-11,2068.53,576.09
2015-02-12,2088.48,578.6152
2015-02-13,2096.99,587.1228
2015-02-17,2100.3401,592.8991000000001
2015-02-18,2099.6799,593.001
2015-02-19,2097.45,596.0849999999999
2015-02-20,2110.3,603.34
2015-02-23,2109.6599,604.01
2015-02-24,2115.48,604.745
2015-02-25,2113.8601,609.85
2015-02-26,2110.74,609.7449999999999
2015-02-27,2104.5,605.0403
2015-03-02,2117.3899,610.2200000000001
2015-03-03,2107.78,608.645
2015-03-04,2098.53,606.19
2015-03-05,2101.04,612.2765000000002
2015-03-06,2071.26,599.8839999999999
2015-03-09,2079.4299,601.0301000000001
2015-03-10,2044.16,594.7599
2015-03-11,2040.24,600.7560000000001
2015-03-12,2065.95,609.4411
2015-03-13,2053.3999,606.6877999999999
2015-03-16,2081.1899,612.3159999999999
2015-03-17,2074.28,609.5920000000001
2015-03-18,2099.5,611.2049999999999
2015-03-19,2089.27,620.111
2015-03-20,2108.1001,620.06
2015-03-23,2104.4199,616.2999
2015-03-24,2091.5,617.115
2015-03-25,2061.05,596.7950000000001
2015-03-26,2056.1499,590.86
2015-03-27,2061.02,596.5899999999999
2015-03-30,2086.24,605.2090000000001
2015-03-31,2067.8899,599.4591
2015-04-01,2059.6899,600.6652
2015-04-02,2066.96,603.5600000000001
2015-04-06,2080.6201,606.515
2015-04-07,2076.3301,603.09
2015-04-08,2081.8999,610.1550000000001
2015-04-09,2091.1799,611.115
2015-04-10,2102.0601,617.833
2015-04-13,2092.4299,619.9099
2015-04-14,2095.8401,617.615
2015-04-15,2106.6299,624.9750000000001
2015-04-16,2104.99,626.0662
2015-04-17,2081.1799,614.189
2015-04-20,2100.3999,621.1666
2015-04-21,2097.29,623.9250000000001
2015-04-22,2107.96,624.0250000000001
2015-04-23,2112.9299,625.2271000000001
2015-04-24,2117.6899,627.8649
2015-04-27,2108.9199,614.9501
2015-04-28,2114.76,613.49
2015-04-29,2106.8501,613.2
2015-04-30,2085.51,599.477
2015-05-01,2108.29,624.4141
2015-05-04,2114.49,623.9920999999998
2015-05-05,2089.46,613.745
2015-05-06,2080.1499,616.61
2015-05-07,2088.0,619.36
2015-05-08,2116.1001,626.876
2015-05-11,2105.3301,626.3501
2015-05-12,2099.1201,627.6099999999999
2015-05-13,2098.48,627.31
2015-05-14,2121.1001,637.8503999999999
2015-05-15,2122.73,647.4200000000001
2015-05-18,2129.2,654.7399
2015-05-19,2127.8301,650.4201
2015-05-20,2125.8501,667.3900000000001
2015-05-21,2130.8201,663.4801000000001
2015-05-22,2126.0601,662.75
2015-05-26,2104.2,661.8448
2015-05-27,2123.48,666.985
2015-05-28,2120.79,664.8465
2015-05-29,2107.3899,665.2106
2015-06-01,2111.73,664.4100000000001
2015-06-02,2109.6001,665.1781999999998
2015-06-03,2114.0701,670.0302000000001
2015-06-04,2095.8401,663.8389999999999
2015-06-05,2092.8301,669.8052000000001
2015-06-08,2079.28,665.5369000000001
2015-06-09,2080.1499,662.4470000000001
2015-06-10,2105.2,668.6
2015-06-11,2108.8601,672.5647
2015-06-12,2094.1101,667.84
2015-06-15,2084.4299,666.8604999999999
2015-06-16,2096.29,670.1448999999999
2015-06-17,2100.4399,671.3513
2015-06-18,2121.24,685.1410000000001
2015-06-19,2109.99,690.0591000000001
2015-06-22,2122.8501,696.7049
2015-06-23,2124.2,693.325
2015-06-24,2108.5801,681.1895
2015-06-25,2102.3101,682.0787
2015-06-26,2101.49,675.7217999999999
2015-06-29,2057.6399,656.33
2015-06-30,2063.1101,668.1716
2015-07-01,2077.4199,669.9849999999999
2015-07-02,2076.78,669.4749
2015-07-06,2068.76,668.0292000000001
2015-07-07,2081.3401,667.9798999999999
2015-07-08,2046.6801,652.3696
2015-07-09,2051.3101,659.249
2015-07-10,2076.6201,675.8765000000001
2015-07-13,2099.6001,683.72
2015-07-14,2108.95,691.81
2015-07-15,2107.3999,682.19
2015-07-16,2124.29,693.1678999999999
2015-07-17,2126.6399,694.97
2015-07-20,2128.28,692.1564
2015-07-21,2119.21,700.8050000000001
2015-07-22,2114.1499,704.6791999999999
2015-07-23,2102.1499,701.1001
2015-07-24,2079.6499,693.965
2015-07-27,2067.6399,685.8849999999998
2015-07-28,2093.25,689.5665
2015-07-29,2108.5701,686.56
2015-07-30,2108.6299,683.8651000000001
2015-07-31,2103.8401,698.8799999999999
2015-08-03,2098.04,697.73
2015-08-04,2093.3201,699.8601000000001
2015-08-05,2099.8401,706.585
2015-08-06,2083.5601,690.05
2015-08-07,2077.5701,671.325
2015-08-10,2104.1799,681.9375
2015-08-11,2084.0701,676.0346000000002
2015-08-12,2086.05,678.2982000000001
2015-08-13,2083.3899,676.0753
2015-08-14,2091.54,677.3654000000001
2015-08-17,2102.4399,690.115
2015-08-18,2096.9199,686.0564999999999
2015-08-19,2079.6101,684.1800000000001
2015-08-20,2035.73,658.5587
2015-08-21,1970.89,647.6700000000001
2015-08-24,1893.21,618.615
2015-08-25,1867.61,616.4200000000001
2015-08-26,1940.51,637.4215
2015-08-27,1987.66,652.0899999999999
2015-08-28,1988.87,660.269
2015-08-31,1972.1801,649.6999999999998
2015-09-01,1913.85,635.3842000000001
2015-09-02,1948.86,649.9772
2015-09-03,1951.13,642.6085
2015-09-04,1921.22,639.7699999999999
2015-09-08,1969.41,660.3824
2015-09-09,1942.04,650.323
2015-09-10,1952.29,658.1800000000001
2015-09-11,1961.05,664.4899
2015-09-14,1953.03,663.44
2015-09-15,1978.09,672.8999
2015-09-16,1995.3101,672.438
2015-09-17,1990.2,679.911
2015-09-18,1958.03,668.3297
2015-09-21,1966.97,653.7256
2015-09-22,1942.74,643.03
2015-09-23,1938.76,639.3699999999999
2015-09-24,1932.24,637.4049999999999
2015-09-25,1931.34,623.5301
2015-09-28,1881.77,599.415
2015-09-29,1884.09,592.1910000000001
2015-09-30,1920.03,605.7080000000001
2015-10-01,1923.8199,607.7174999999999
2015-10-02,1951.36,622.7769999999999
2015-10-05,1987.05,633.1500000000001
2015-10-06,1979.92,622.4350000000001
2015-10-07,1995.83,621.41
2015-10-08,2013.4301,623.9638
2015-10-09,2014.89,628.8637999999999
2015-10-12,2017.46,627.1309
2015-10-13,2003.6899,616.5700000000002
2015-10-14,1994.24,609.6899999999999
2015-10-15,2023.86,622.8
2015-10-16,2033.11,624.907
2015-10-19,2033.66,625.3719999999998
2015-10-20,2030.77,617.14
2015-10-21,2018.9399,609.3807999999999
2015-10-22,2052.51,613.449
2015-10-23,2075.1499,620.4251
2015-10-26,2071.1799,623.1252000000002
2015-10-27,2065.8899,623.7060000000001
2015-10-28,2090.3501,642.0900000000001
2015-10-29,2089.4099,635.7499999999999
2015-10-30,2079.3601,624.46
2015-11-02,2104.05,634.1578
2015-11-03,2109.79,637.7412
2015-11-04,2102.3101,643.0382000000001
2015-11-05,2099.9299,639.77
2015-11-06,2099.2,650.75
2015-11-09,2078.5801,648.4300000000001
2015-11-10,2081.72,646.3480000000001
2015-11-11,2075.0,639.1533999999999
2015-11-12,2045.97,624.6590000000001
2015-11-13,2023.04,625.181
2015-11-16,2053.1899,623.9
2015-11-17,2050.4399,621.59
2015-11-18,2083.5801,635.7710999999999
2015-11-19,2081.24,628.8232
2015-11-20,2089.1699,638.0802
2015-11-23,2086.5901,646.8354
2015-11-24,2089.1399,648.3779999999999
2015-11-25,2088.8701,651.3551000000001
2015-11-27,2090.1101,656.1613999999998
2015-11-30,2080.4099,648.508
2015-12-01,2102.6299,655.4038
2015-12-02,2079.51,652.6980000000001
2015-12-03,2049.6201,643.62
2015-12-04,2091.6899,659.8792
2015-12-07,2077.0701,642.7976
2015-12-08,2063.5901,647.7670999999999
2015-12-09,2047.62,639.86
2015-12-10,2052.23,636.2242000000001
2015-12-11,2012.37,615.1197
2015-12-14,2021.9399,613.8499
2015-12-15,2043.41,621.4671
2015-12-16,2073.0701,631.0933
2015-12-17,2041.89,622.7101
2015-12-18,2005.55,615.37
2015-12-21,2021.15,622.7649999999999
2015-12-22,2038.97,619.9051
2015-12-23,2064.29,632.8181
2015-12-24,2060.99,635.2499
2015-12-28,2056.5,631.76
2015-12-29,2078.3601,641.5500000000001
2015-12-30,2063.3601,636.67
2015-12-31,2043.9399,627.1401
2016-01-04,2012.66,617.4
2016-01-05,2016.71,617.4487999999999
2016-01-06,1990.26,613.5899999999999
2016-01-07,1943.09,599.6269000000001
2016-01-08,1922.03,590.6
2016-01-11,1923.67,582.1216
2016-01-12,1938.6801,588.5801
2016-01-13,1890.28,568.2623
2016-01-14,1921.84,580.91
2016-01-15,1880.33,553.152
