Dow,Nasdaq,S&P_500
20619.7695,5814.8999,2347.22
20624.0508,5838.5801,2351.1599
20743.0,5865.9502,2365.3799
20775.5996,5860.6299,2362.8201
20810.3203,5835.5098,2363.8101
20821.7598,5845.3101,2367.3401
20837.4395,5861.8999,2369.75
20812.2402,5825.4399,2363.6399
21115.5508,5904.0298,2395.96
21002.9707,5861.2202,2381.9199
21005.7109,5870.75,2383.1201
20954.3398,5849.1802,2375.3101
20924.7598,5833.9302,2368.3899
20855.7305,5837.5498,2362.98
20858.1895,5838.8101,2364.8701
20902.9805,5861.73,2372.6001
20881.4805,5875.7798,2373.47
20837.3691,5856.8198,2365.45
20950.0996,5900.0498,2385.26
20934.5508,5900.7598,2381.3799
20914.6191,5901.0,2378.25
20905.8594,5901.5298,2373.47
20668.0098,5793.8301,2344.02
20661.3008,5821.6401,2348.45
20656.5801,5817.6899,2345.96
20596.7207,5828.7402,2343.98
20550.9805,5840.3701,2341.5901
20701.5,5875.1401,2358.5701
20659.3203,5897.5498,2361.1299
20728.4902,5914.3398,2368.0601
20663.2207,5911.7402,2362.72
20650.2109,5894.6802,2358.8401
20689.2402,5898.6099,2360.1599
20648.1504,5864.48,2352.95
20662.9492,5878.9502,2357.49
20656.0996,5877.8101,2355.54
20658.0195,5880.9302,2357.1599
20651.3008,5866.77,2353.78
20591.8594,5836.1602,2344.9299
20453.25,5805.1499,2328.95
20636.9199,5856.79,2349.01
20523.2793,5849.4702,2342.1899
20404.4902,5863.0298,2338.1699
20578.7109,5916.7798,2355.8401
20547.7598,5910.52,2348.6899
20763.8906,5983.8198,2374.1499
20996.1191,6025.4902,2388.6101
20975.0898,6025.23,2387.45
20981.3301,6048.9399,2388.77
20940.5098,6047.6099,2384.2
20913.4609,6091.6001,2388.3301
20949.8906,6095.3701,2391.1699
20957.9004,6072.5498,2388.1299
20951.4707,6075.3398,2389.52
21006.9395,6100.7598,2399.29
21012.2793,6102.6602,2399.3799
20975.7793,6120.5898,2396.9199
20943.1094,6129.1401,2399.6299
20919.4199,6115.96,2394.4399
20896.6094,6121.23,2390.8999
20981.9395,6149.6699,2402.3201
20979.75,6169.8701,2400.6699
20606.9297,6011.2402,2357.03
20663.0195,6055.1299,2365.72
20804.8398,6083.7002,2381.73
20894.8301,6133.6201,2394.02
20937.9102,6138.71,2398.4199
21012.4199,6163.02,2404.3899
21082.9492,6205.2598,2415.0701
21080.2793,6210.1899,2415.8201
21029.4707,6203.1899,2412.9099
21008.6504,6198.52,2411.8
21144.1797,6246.8301,2430.0601
21206.2891,6305.7998,2439.0701
21184.0391,6295.6802,2436.1001
21136.2305,6275.0601,2429.3301
21173.6895,6297.3799,2433.1399
21182.5293,6321.7598,2433.79
21271.9707,6207.9199,2431.77
21235.6699,6175.46,2429.3899
21328.4707,6220.3701,2440.3501
21374.5605,6194.8901,2437.9199
21359.9004,6165.5,2432.46
21384.2793,6151.7598,2433.1499
21528.9902,6239.0098,2453.46
21467.1406,6188.0298,2437.03
21410.0293,6233.9502,2435.6101
21397.2891,6236.6899,2434.5
21394.7598,6265.25,2438.3
21409.5508,6247.1499,2439.0701
21310.6602,6146.6201,2419.3799
21454.6094,6234.4102,2440.6899
21287.0293,6144.3501,2419.7
21349.6309,6140.4199,2423.4099
21479.2695,6110.0601,2429.01
21478.1699,6150.8599,2432.54
21320.0391,6089.46,2409.75
21414.3398,6153.0801,2425.1799
21408.5195,6176.3901,2427.4299
21409.0703,6193.2998,2425.53
21532.1406,6261.1699,2443.25
21553.0898,6274.4399,2447.8301
21637.7402,6312.4702,2459.27
21629.7207,6314.4302,2459.1399
21574.7305,6344.3101,2460.6101
21640.75,6385.04,2473.8301
21611.7793,6390.0,2473.45
21580.0703,6387.75,2472.54
21513.1699,6410.8101,2469.9099
21613.4297,6412.1699,2477.1299
21711.0098,6422.75,2477.8301
21796.5508,6382.1899,2475.4199
21830.3105,6374.6802,2472.1001
21891.1191,6348.1201,2470.3
21963.9199,6362.9399,2476.3501
22016.2402,6362.6499,2477.5701
22026.0996,6340.3398,2472.1599
22092.8105,6351.5601,2476.8301
22118.4199,6383.77,2480.9099
22085.3398,6370.46,2474.9199
22048.6992,6352.3301,2474.02
21844.0098,6216.8701,2438.21
21858.3203,6256.5601,2441.3201
21993.7109,6340.23,2465.8401
21998.9902,6333.0098,2464.6101
22024.8691,6345.1099,2468.1101
21750.7305,6221.9102,2430.01
21674.5098,6216.5298,2425.55
21703.75,6213.1299,2428.3701
21899.8906,6297.48,2452.51
21812.0898,6278.4102,2444.04
21783.4004,6271.3301,2438.97
21813.6699,6265.6401,2443.05
21808.4004,6283.02,2444.24
21865.3691,6301.8901,2446.3
21892.4297,6368.3101,2457.5901
21948.0996,6428.6602,2471.6499
21987.5605,6435.3301,2476.55
21753.3105,6375.5698,2457.8501
21807.6406,6393.3101,2465.54
21784.7793,6397.8701,2465.1001
21797.7891,6360.1899,2461.4299
22057.3691,6432.2598,2488.1101
22118.8594,6454.2798,2496.48
22158.1797,6460.1899,2498.3701
22203.4805,6429.0801,2495.6201
22268.3398,6448.4702,2500.23
22331.3496,6454.6401,2503.8701
22370.8008,6461.3198,2506.6499
22412.5898,6456.04,2508.24
22359.2305,6422.6899,2500.6001
22349.5898,6426.9199,2502.22
22296.0898,6370.5898,2496.6599
22284.3203,6380.1602,2496.8401
22340.7109,6453.2598,2507.04
22381.1992,6453.4502,2510.0601
22405.0898,6495.96,2519.3601
22557.5996,6516.7202,2529.1201
22641.6699,6531.71,2534.5801
22661.6406,6534.6299,2537.74
22775.3906,6585.3599,2552.0701
22773.6699,6590.1802,2549.3301
22761.0703,6579.73,2544.73
22830.6797,6587.25,2550.6399
22872.8906,6603.5498,2555.24
22841.0098,6591.5098,2550.9299
22871.7207,6605.7998,2553.1699
22956.9609,6624.0,2557.6399
22997.4395,6623.6602,2559.3601
23157.5996,6624.2202,2561.26
23163.0391,6605.0698,2562.1001
23328.6309,6629.0498,2575.21
23273.9609,6586.8301,2564.98
